n,structure,insert,search,delete
100,BST,5.287499516271055e-05,3.112500417046249e-05,4.516699118539691e-05
100,BST(sorted-input),0.000292125012492761,nan,nan
100,AVL,0.000212083978112787,2.6875000912696123e-05,0.00017158300033770502
100,HashTable,7.895799353718758e-05,1.3082986697554588e-05,2.108400803990662e-05
100,MinHeap,2.7292000595480204e-05,7.741601439192891e-05,nan
1000,BST,0.0007862920174375176,0.0005542080034501851,0.000681874982547015
1000,BST(sorted-input),0.03599258299800567,nan,nan
1000,AVL,0.003311834007035941,0.0004107499844394624,0.00276212501921691
1000,HashTable,0.0008331249991897494,0.0001364590134471655,0.00021795797511003911
1000,MinHeap,0.00029670901130884886,0.0012419999984558672,nan
10000,BST,0.011055874987505376,0.007234750024508685,0.009543791995383799
10000,AVL,0.043506165995495394,0.005673833016771823,0.03899325002566911
10000,HashTable,0.007422791997669265,0.0014892909966874868,0.0022737919935025275
10000,MinHeap,0.0031322080176323652,0.01808670800528489,nan
